ticker,current_price,total_return,volatility,avg_daily_volume,data_points,name,sector,sharpe_ratio,risk_category,return_category
AFKS,12.589,-23.928938304429266,40.16815896552417,1022267.5765124555,562,ПАО АФК Система,financial,-0.5957190700466799,Средний,Сильный спад
AFLT,51.19,32.82304099636741,37.09744583968521,2928978.213523132,562,ПАО Аэрофлот,consumer,0.88477899902356,Средний,Рост
AKRN,17594.0,-7.390251605432151,12.08492394577626,1597.9797794117646,544,ПАО Акрон,materials,-0.6115265299633995,Низкий,Спад
ALRS,39.17,-41.239123912391236,29.59445044925258,1635407.0871886122,562,ПАО АЛРОСА,materials,-1.3934749010834477,Низкий,Сильный спад
AQUA,485.5,-49.055613850996856,27.674734662033995,124449.62025316455,553,ПАО ИнАрктика,consumer,-1.7725775675925286,Низкий,Сильный спад
ASTR,301.5,-43.48111350642048,31.561620144124582,733402.7793594307,562,Группа Астра,it,-1.377657842273816,Средний,Сильный спад
BELU,404.2,-92.72890807699227,63.80634177048513,371811.4202898551,552,ПАО НоваБев Групп,consumer,-1.453286703233092,Высокий,Сильный спад
BSPB,343.35,39.777723497801674,31.28069690702454,149319.4301075269,558,ПАО Банк Санкт-Петербург,financial,1.2716380205988633,Средний,Рост
CBOM,6.969,-6.51911468812877,36.02262595875916,140055.28647686832,562,ПАО МКБ,,-0.180972777931077,Средний,Спад
CHMF,891.0,-34.048852701702444,35.15577876199453,991957.7989323844,562,ПАО Северсталь,materials,-0.9685136811280443,Средний,Сильный спад
ENPG,390.8,-20.212331563903636,38.15557262557052,558539.2153024911,562,МКПАО Эн+ Груп,materials,-0.5297347195454758,Средний,Сильный спад
FEES,0.06336,-47.287853577371045,30.2021595721595,262735.47864768683,562,ПАО ФСК ЕЭС,utilities,-1.565711003691313,Средний,Сильный спад
FLOT,73.15,-42.528284098051536,33.48308494807612,605249.4181494662,562,ПАО Совкомфлот,industrials,-1.2701423469194149,Средний,Сильный спад
GAZP,119.52,-27.69947371604864,32.82816709567988,5968709.749110321,562,ПАО Газпром,energy,-0.8437715585922503,Средний,Сильный спад
GMKN,125.78,-26.735787511649583,33.16891385634337,1780373.2258064516,558,ПАО ГМК Норникель,materials,-0.8060495326269633,Средний,Сильный спад
HYDR,0.3844,-50.89422585590189,27.16531710275152,284802.9306049822,562,ПАО РусГидро,utilities,-1.873500156961058,Низкий,Сильный спад
IRAO,2.8085,-33.495145631067956,21.42488160560512,1309140.3232142858,560,ПАО Интер РАО,utilities,-1.5633759965471663,Низкий,Сильный спад
IRKT,24.86,-59.81247979308115,54.16720512725954,64150.70788530466,558,ПАО Иркут,industrials,-1.1042194193434698,Высокий,Сильный спад
LEAS,587.0,-38.21052631578947,35.066477138998934,247982.6645435244,471,ПАО ЛК Европлан,other,-1.089659681647744,Средний,Сильный спад
LENT,1768.0,146.23955431754874,34.554143541028495,51129.208333333336,552,ПАО Лента,consumer,4.232185762147701,Средний,Сильный рост
LKOH,4832.5,-33.11881530689917,23.932307360978804,786122.2793594307,562,ПАО Лукойл,energy,-1.3838538343736468,Низкий,Сильный спад
LSRG,698.2,2.076023391812872,36.63136516730641,263095.4332129964,554,ПАО ЛСР,real_estate,0.05667338310573607,Средний,Нейтрально
MAGN,25.845,-49.87879375545428,32.60236804743798,2329164.247330961,562,ПАО ММК,materials,-1.5299132162080464,Средний,Сильный спад
MDMG,1310.1,66.72181216594552,27.57644956139632,131393.49259259258,540,МКПАО МД Медикал Груп,health_care,2.4195214839892936,Низкий,Рост
MGNT,2847.5,-51.76590158380622,30.758933752893135,374802.3665480427,562,ПАО Магнит,consumer,-1.6829550074679427,Средний,Сильный спад
MOEX,164.3,-18.598890210067374,26.256715813512514,646571.7046263345,562,ПАО Московская биржа,financial,-0.7083479267614959,Низкий,Спад
MRKC,0.6624,12.00541088941494,35.55845318847808,75678.80036630036,546,ПАО Россети Центр,utilities,0.33762466622999854,Средний,Нейтрально
MRKP,0.467,42.988364972443364,32.60234254665499,14424.750915750916,546,ПАО Россети Центр и Приволжье,utilities,1.318566753628996,Средний,Рост
MTSS,203.9,-24.214829957257017,29.149749505265472,363086.0356506239,561,ПАО МТС,telecom,-0.8307045641295465,Низкий,Сильный спад
MVID,63.65,-66.46469968387777,50.35507077869211,2127676.7921146955,558,ПАО М.Видео,consumer,-1.319920688345105,Высокий,Сильный спад
NLMK,101.88,-46.46910466582598,34.76208064551785,887318.3487544484,562,ПАО НЛМК,materials,-1.3367756993515176,Средний,Сильный спад
NMTP,8.35,-30.676629306766294,33.95531539213176,182316.4082733813,556,ПАО НМТП,industrials,-0.9034411535424816,Средний,Сильный спад
NVTK,1084.4,-29.40104166666666,34.69711271013643,2611889.2741935486,558,ПАО Новатэк,energy,-0.8473627737352747,Средний,Сильный спад
OGKB,0.3302,-42.34328618823118,36.10671456698352,163505.74551971327,558,ПАО ОГК-2,utilities,-1.172726089760337,Средний,Сильный спад
OZON,3990.0,44.77503628447025,40.670355590986055,580144.6976744186,473,ПАО Ozon,consumer,1.1009256160620815,Средний,Рост
PHOR,6672.0,-1.7523192460609631,24.57510869639867,72056.47857142857,560,ПАО ФосАгро,materials,-0.07130463867766146,Низкий,Спад
PIKK,405.2,-42.68741159830269,46.626756680749516,2443570.859430605,562,ПАО ПИК,real_estate,-0.9155132082332195,Средний,Сильный спад
PLZL,2188.8,95.08021390374333,29.286393094466874,1346285.6122082586,557,ПАО Полюс,materials,3.2465661987480114,Низкий,Рост
POSI,1075.6,-47.88759689922481,34.456133970789494,398315.5889679715,562,Группа Позитив,it,-1.3898134056427214,Средний,Сильный спад
RASP,165.1,-57.86115364982134,34.17110769551081,82505.91935483871,558,ПАО Распадская,materials,-1.6932770855837014,Средний,Сильный спад
